Iter 	incumb_est 	candid_est 	error
386 	-40.950458 	-40.950883 	-0.000010
387 	-40.933544 	-40.933924 	-0.000009
388 	-40.937629 	-40.939761 	-0.000052
389 	-40.918188 	-40.918381 	-0.000005
390 	-40.898680 	-40.900008 	-0.000032
391 	-40.907454 	-40.907524 	-0.000002
392 	-40.899028 	-40.900380 	-0.000033
393 	-40.898732 	-40.898793 	-0.000001
394 	-40.903584 	-40.904958 	-0.000034
395 	-40.914168 	-40.914220 	-0.000001
396 	-40.909798 	-40.911196 	-0.000034
397 	-40.907310 	-40.907355 	-0.000001
398 	-40.905320 	-40.906741 	-0.000035
399 	-40.905955 	-40.905993 	-0.000001
400 	-40.919326 	-40.920771 	-0.000035
401 	-40.912552 	-40.912583 	-0.000001
402 	-40.904323 	-40.905790 	-0.000036
403 	-40.902564 	-40.902590 	-0.000001
404 	-40.894997 	-40.896488 	-0.000036
405 	-40.874194 	-40.874194 	-0.000000
406 	-40.877085 	-40.877085 	-0.000000
407 	-40.895972 	-40.896014 	-0.000001
408 	-40.883058 	-40.883060 	-0.000000
409 	-40.890172 	-40.890173 	-0.000000
410 	-40.890383 	-40.890384 	-0.000000
411 	-40.887781 	-40.887781 	-0.000000
412 	-40.882311 	-40.884088 	-0.000043
413 	-40.874434 	-40.874434 	-0.000000
